year,country,region,avg_temperature_c,rainfall_mm,drought_index,flood_risk_score,heatwave_days,soil_moisture_percent,climate_risk_level
1961,Pakistan,South Asia,25.6,865.5,0.312,0.548,24,36.67,Moderate
1962,Pakistan,South Asia,24.85,1005.0,0.056,0.388,30,54.86,Low
1963,Pakistan,South Asia,25.81,737.7,0.278,0.462,20,25.41,Moderate
1964,Pakistan,South Asia,26.88,797.6,0.413,0.4,27,34.64,Moderate
1965,Pakistan,South Asia,24.79,787.3,0.259,0.315,23,30.99,Moderate
1966,Pakistan,South Asia,24.81,615.8,0.458,0.345,15,16.88,Moderate
1967,Pakistan,South Asia,27.0,897.4,0.347,0.465,26,37.29,Moderate
1968,Pakistan,South Asia,26.05,891.8,0.26,0.398,22,33.19,Moderate
1969,Pakistan,South Asia,24.58,850.8,0.154,0.431,18,36.15,Moderate
1970,Pakistan,South Asia,25.81,812.5,0.189,0.375,15,29.65,Moderate
1971,Pakistan,South Asia,24.62,623.5,0.35,0.321,18,35.96,Moderate
1972,Pakistan,South Asia,24.64,782.7,0.341,0.444,21,32.52,Moderate
1973,Pakistan,South Asia,25.51,795.2,0.324,0.524,32,29.07,Moderate
1974,Pakistan,South Asia,22.94,721.6,0.132,0.262,20,34.73,Low
1975,Pakistan,South Asia,23.18,824.2,0.184,0.583,30,36.85,Moderate
1976,Pakistan,South Asia,24.6,914.6,0.207,0.301,11,40.26,Moderate
1977,Pakistan,South Asia,24.07,1151.8,0.0,0.564,23,61.27,Moderate
1978,Pakistan,South Asia,25.68,877.9,0.269,0.486,22,43.05,Moderate
1979,Pakistan,South Asia,24.23,891.2,0.18,0.468,34,37.78,Moderate
1980,Pakistan,South Asia,23.65,838.1,0.092,0.369,8,36.6,Low
1981,Pakistan,South Asia,27.12,543.0,0.597,0.255,18,13.57,Moderate
1982,Pakistan,South Asia,25.11,845.8,0.296,0.383,14,22.55,Moderate
1983,Pakistan,South Asia,25.48,859.6,0.346,0.383,3,26.96,Moderate
1984,Pakistan,South Asia,23.7,1244.1,0.0,0.69,10,70.41,Moderate
1985,Pakistan,South Asia,24.78,819.2,0.144,0.438,12,47.96,Moderate
1986,Pakistan,South Asia,25.58,898.2,0.163,0.394,21,40.17,Moderate
1987,Pakistan,South Asia,24.09,844.4,0.242,0.494,18,40.83,Moderate
1988,Pakistan,South Asia,25.94,663.0,0.464,0.356,36,25.73,Moderate
1989,Pakistan,South Asia,24.78,1032.9,0.143,0.581,25,67.26,Moderate
1990,Pakistan,South Asia,25.17,970.3,0.474,0.536,14,45.76,High
1991,Pakistan,South Asia,24.82,976.6,0.189,0.422,11,44.28,Moderate
1992,Pakistan,South Asia,27.78,704.5,0.577,0.307,31,17.96,Moderate
1993,Pakistan,South Asia,25.56,1074.4,0.187,0.597,10,40.35,Moderate
1994,Pakistan,South Asia,24.32,625.7,0.421,0.362,31,24.08,Moderate
1995,Pakistan,South Asia,26.6,943.9,0.231,0.47,33,38.05,Moderate
1996,Pakistan,South Asia,24.16,1200.5,0.011,0.61,12,51.26,Moderate
1997,Pakistan,South Asia,25.9,691.5,0.339,0.448,7,23.91,Moderate
1998,Pakistan,South Asia,23.31,759.4,0.204,0.332,24,27.39,Moderate
1999,Pakistan,South Asia,24.09,865.9,0.147,0.477,15,50.48,Moderate
2000,Pakistan,South Asia,25.94,769.4,0.354,0.369,31,36.68,Moderate
2001,Pakistan,South Asia,26.61,601.9,0.686,0.284,11,16.34,Moderate
2002,Pakistan,South Asia,25.94,861.0,0.133,0.518,17,49.27,Moderate
2003,Pakistan,South Asia,25.62,680.0,0.45,0.406,20,25.47,Moderate
2004,Pakistan,South Asia,25.41,925.8,0.08,0.528,20,39.51,Moderate
2005,Pakistan,South Asia,24.02,702.9,0.261,0.456,12,39.06,Moderate
2006,Pakistan,South Asia,24.95,1098.0,0.15,0.551,23,55.13,Moderate
2007,Pakistan,South Asia,25.28,724.7,0.351,0.417,11,22.98,Moderate
2008,Pakistan,South Asia,27.11,798.5,0.299,0.374,24,32.8,Moderate
2009,Pakistan,South Asia,26.28,980.2,0.156,0.516,23,40.62,Moderate
2010,Pakistan,South Asia,23.77,653.1,0.376,0.316,19,16.83,Moderate
2011,Pakistan,South Asia,26.29,886.4,0.223,0.451,28,45.42,Moderate
2012,Pakistan,South Asia,25.46,1059.1,0.134,0.577,11,61.74,Moderate
2013,Pakistan,South Asia,25.12,592.8,0.436,0.231,7,12.52,Moderate
2014,Pakistan,South Asia,26.69,879.5,0.254,0.607,34,42.27,Moderate
2015,Pakistan,South Asia,27.21,891.6,0.495,0.365,28,30.77,Moderate
2016,Pakistan,South Asia,27.11,975.1,0.31,0.39,19,39.64,Moderate
2017,Pakistan,South Asia,25.0,652.1,0.222,0.419,31,24.6,Moderate
2018,Pakistan,South Asia,25.65,638.7,0.441,0.383,21,17.92,Moderate
2019,Pakistan,South Asia,26.44,933.5,0.202,0.517,32,42.92,Moderate
2020,Pakistan,South Asia,27.23,897.5,0.389,0.499,26,32.12,Moderate
2021,Pakistan,South Asia,25.5,890.1,0.176,0.444,37,42.61,Moderate
2022,Pakistan,South Asia,25.88,905.4,0.238,0.381,35,40.21,Moderate
2023,Pakistan,South Asia,24.79,741.2,0.35,0.377,16,28.62,Moderate
2024,Pakistan,South Asia,24.7,887.2,0.271,0.389,25,33.5,Moderate
2025,Pakistan,South Asia,27.13,896.9,0.22,0.526,30,36.99,Moderate
2026,Pakistan,South Asia,27.8,735.7,0.438,0.356,38,32.57,Moderate
2027,Pakistan,South Asia,26.1,1148.5,0.047,0.508,14,59.5,Moderate
